影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
勒索风云,菲尔·沃尔肯,菲尔·沃尔肯,艾恩·贝利;贝瑟妮·乔伊·盖里奥迪;巴克德·阿巴蒂;丹尼·格洛弗;蒂姆·格里芬;毛里西奥·阿莱马尼;杰克·华莱士;马丽琳达·里维拉,剧情;动作;惊悚;犯罪;冒险,美国 / 波多黎各,英语,2017-05-16(美国DVD-蓝光发行)
勾当2：红色骆驼,卢镇秀,卢镇秀,高婉;金民起;柳韩洪,剧情,韩国,韩语,2015-08-07(韩国)
勿忘我,长崎俊一,矢泽由美;长崎俊一,萨奇·帕克;高桥真悠;大森南朋;木村佑一;高桥克实,剧情;家庭,日本,日语,2008-06-21(日本)
匆匆那年,张一白,李晗;刘晗;九夜茴,彭于晏;倪妮;郑恺;魏晨;张子萱;陈赫;毕夏;刘雅瑟;曹卫宇;张宁江,爱情,中国大陆,汉语普通话,2014-12-05(中国大陆)
北京爱情故事,陈思诚,陈思诚,梁家辉;刘嘉玲;王学兵;余男;陈思诚;佟丽娅;王庆祥;斯琴高娃;刘昊然;欧阳娜娜;金燕玲;耿乐;郭京飞,爱情,中国大陆,汉语普通话 / 英语,2014-02-14(中国大陆)
北京纽约,李晓雨,李晓雨,林志玲;刘烨;理查德·德克勒克;江疏影;王骁;关雪盈,剧情;爱情,中国大陆 / 英国 / 美国,汉语普通话 / 英语,2015-03-06(中国大陆)
北京遇上西雅图,薛晓路,薛晓路,汤唯;吴秀波;海清;宋美曼;宋美慧;金燕玲;买红妹;布拉德·哈德;李绮虹,喜剧;爱情,中国大陆 / 香港,汉语普通话 / 英语 / 闽南语,2013-03-21(中国大陆);2016-03-29(重映)
北京遇上西雅图之不二情书,薛晓路,薛晓路;焦华静,汤唯;吴秀波;惠英红;秦沛;吴彦姝;颜卓灵;王志文;陆毅;祖锋;王茜;刘志宏;张一白;艾丽娅;李灿森;陈创;韩张,喜剧;爱情,中国大陆 / 香港,汉语普通话 / 英语 / 粤语,2016-04-29(中国大陆)
北方的金丝雀,阪本顺治,那须真知子;凑佳苗,吉永小百合;柴田恭兵;仲村亨;里见浩太朗;森山未来;满岛光;胜地凉;宫崎葵;小池荣子;松田龙平,剧情;悬疑,日本,日语,2012-11-03(日本)
北村方向,洪尚秀,洪尚秀,刘俊相;宋宣美;高贤贞;金义城;金甫京,剧情,韩国,韩语,2011-09-08(韩国)
